Título,Compositor,Época,Género,Formato vocal,Acompañamiento,Idioma,Dificultad,Ediciones,PDFs,MIDIs,IMSLP URL
A Gaelic Blessing,John Rutter,,,SATB,,,,0,0,0,
A la nanita nana,Tradicional española,Tradicional,Villancico,SATB,,Español,,1,1,0,
A tu lado,Javier Busto,Contemporánea,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,4,
Abendlied,J. Rheinberger,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,4,https://imslp.org/wiki/Abendlied_%28Rheinberger%2C_Josef_Gabriel%29
Adagio (arr. coral),Tomaso Albinoni,Barroco,Instrumental,SATB,,Latín,,1,1,0,
Adeste Fideles,Tradicional austríaca,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,4,
Agnus Dei,Dante Andreo,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,4,
Al filo de media noche,Anónimo,Contemporáneo,Religioso,SATB,,Español,,1,1,0,
Aleluya,Anónimo,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,4,
Alfonsina y el Mar,Ariel Ramírez,Siglo XX,Canción,SATB,,Español,,1,2,0,
All you need is love,The Betahles,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,4,
Alleluia,William Boyce,Barroco,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,2,4,
Alma de Dios (Canción húngara),José Serrano,Romanticismo,Zarzuela,SATB,,Español,,1,1,0,
"Alma, corazón y vida",Anónimo,Contemporáneo,Popular,SATB,,Español,,1,1,0,
Amor de mi alma,Z. Randall Stroope,,,SATB,,,,0,0,0,
Anima Christi,P. Frisina,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,4,
April is in my mistress face,Thomas Morley,,,SATB,,,,0,0,0,https://imslp.org/wiki/April_Is_in_My_Mistress%27_Face_%28Morley%2C_Thomas%29
As Vesta was from Latmos hill descending,Thomas Weelkes,,,SATB,,,,0,0,0,https://imslp.org/wiki/As_Vesta_Was%2C_from_Latmos_Hill_Descending_%28Weelkes%2C_Thomas%29
Ave Maria,Franz Schubert,,,SATB,,,,1,2,0,https://imslp.org/wiki/Ave_Maria%2C_D.839_%28Schubert%2C_Franz%29
Ave Maria,Giulio Caccini,Renacimiento,Motete,SATB,,Latín,,1,1,0,
Ave Maria,Anton Bruckner,,,SATB,,,,0,0,0,https://imslp.org/wiki/Ave_Maria%2C_WAB_6_%28Bruckner%2C_Anton%29
Ave María,Padre Soler,Barroco,Motete,SATB,,Latín,,1,1,0,
Ave María,Tomás Luis de Victoria,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,3,4,https://imslp.org/wiki/Ave_Maria_for_8_Voices_%28Victoria%2C_Tom%C3%A1s_Luis_de%29
Ave María (Motete),Hilarión Eslava,Romanticismo,Motete,SATB,,Latín,,1,2,0,
Ave Verum,W.A. Mozart,Clasicismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,4,https://imslp.org/wiki/Ave_verum_corpus%2C_K.618_%28Mozart%2C_Wolfgang_Amadeus%29
Ave maris stella,Josquin des Prez,,,SATB,,,,0,0,0,
Ave verum corpus,William Byrd,,,SATB,,,,0,0,0,https://imslp.org/wiki/Ave_verum_corpus%2C_T_92_%28Byrd%2C_William%29
Ave verum corpus,Wolfgang Amadeus Mozart,,,SATB,,,,0,0,0,https://imslp.org/wiki/Ave_verum_corpus%2C_K.618_%28Mozart%2C_Wolfgang_Amadeus%29
Ave verum corpus,Edward Elgar,,,SATB,,,,0,0,0,https://imslp.org/wiki/Ave_verum_corpus_%28Elgar%2C_Edward%29
Ave verum corpus,Camille Saint-Saëns,,,SATB,,,,0,0,0,
Ave verum corpus,Francis Poulenc,,,SATB,,,,0,0,0,https://imslp.org/wiki/Ave_verum_corpus%2C_FP_154_%28Poulenc%2C_Francis%29
Ay mi morena,Moreno Torroba,Zarzuela,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Ay triste que vengo,Cancionero de Upsala,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Bella Lola,Anónimo,Contemporáneo,Popular,SATB,,Español,,1,1,0,
Benedicta es tu,Hilarión Eslava,Romanticismo,Motete,SATB,,Latín,,1,1,0,
