,titulo,compositor,voces,genre,era,url_imslp,url_cpdl
1,Agnus Dei,Dante Andreo,SATB,Sacro,Contemporáneo,,
2,Alleluia,William Boyce,SATB,Sacro,Barroco,"https://imslp.org/wiki/Alleluia_(Boyce,_William)",
3,Anima Christi,Marco Frisina,SATB,Sacro,Contemporáneo,,
4,Benedictus,Lorenzo Perosi,SATB,Sacro,Romántico,"https://imslp.org/wiki/Benedictus_(Perosi,_Lorenzo)",
5,Canticorum Iubilo,George Frideric Handel,SATB,Sacro,Barroco,"https://imslp.org/wiki/As_steals_the_morn_(Handel,_George_Frideric)",https://www.cpdl.org/wiki/index.php/Canticorum_Iubilo_(George_Frideric_Handel)
6,Da pacem Domine,Melchior Franck,SATB,Sacro,Renacimiento,"https://imslp.org/wiki/Da_pacem_Domine_(Franck,_Melchior)",https://www.cpdl.org/wiki/index.php/Da_pacem_Domine_(Melchior_Franck)
7,Domine Deus,Joseph Haydn,SATB,Sacro,Clasicismo,"https://imslp.org/wiki/Mass_in_B-flat_major,_Hob.XXII:7_(Haydn,_Joseph)",
8,In Monte Oliveti,Jouzas Naujalis,SATB,Sacro,Romántico,,https://www.cpdl.org/wiki/index.php/In_Monte_Oliveti_(Jouzas_Naujalis)
9,Kyrie (Misa KV49),Wolfgang Amadeus Mozart,SATB,Sacro,Clasicismo,"https://imslp.org/wiki/Mass_in_G_major,_K.49_(Mozart,_Wolfgang_Amadeus)",
10,Lascia ch'io pianga,George Frideric Handel,SATB,Sacro,Barroco,"https://imslp.org/wiki/Rinaldo,_HWV_7_(Handel,_George_Frideric)",https://www.cpdl.org/wiki/index.php/Lascia_ch%27io_pianga_(George_Frideric_Handel)
11,Misa Brevis Aux Chapelles,Charles Gounod,SATB,Sacro,Romántico,"https://imslp.org/wiki/Messe_brève_no.7,_CG_57_(Gounod,_Charles)",
